,stolbec
38,"Кирдянов — это Алимкулов.А это я в костюме « Baltman » сижу в штиблетах « Salamander » — пригожий, млады, разбитый, как трансконтинентальный лайнер.Хотя трехсложники не в поветрии, что ни спроси, читаю сразу то « кончина жеребца », то « О погоде », то « На пути из-за Кавказа ».Усталый, млады, пригожий сижу, затягиваюсь « примой », окурком крошечным, что жжется, и это высокий пижонство.Сижу и думаю о том, как я люблю моих друзей."
39,"['Ну', ',', 'давай', 'поцелуемся', '!']"
40,"['Прошло', 'десятилетье', '.']"
41,На десятом обороте к полосу втулки разлетелись.
42,"['Белеет', 'пароход', 'на', 'фоне', 'голубом', '.']"
43,"['В', 'красном', 'трамвае', 'хулиган', 'с', 'недотрогой', 'ехали', 'в', 'никуда', '.']"
44,"['Всем', 'вручили', 'по', 'жизни', ',', 'а', 'нам', '—', 'по', 'судьбе', ',', 'словно', 'сразу', 'аванс', 'и', 'расчёт', '.']"
45,"['И', 'чёрная', 'река', 'от', 'края', 'и', 'до', 'края', 'на', 'фоне', 'голубом', 'в', 'распахнутом', 'окне', '.']"
46,"['…Когда', 'ты', 'уйдешь', ',', 'когда', 'я', 'умру', '.']"
47,"['«', 'Да', 'ты', 'пиши', 'хоть', ',', 'сынуль', ',', 'мы', 'волнуемся', '»', '.']"
48,Прут в обнимку с выпускницами ардаки с маратами.
49,"['А', 'я', 'протягиваю', 'руку', ':', 'уже', 'хорош', ',', 'давай', 'сюда', '!']"
50,"['В', 'те', 'баснословные', 'года', 'нам', 'пиво', 'воздух', 'заменяло', ',', 'оно', ',', 'как', 'воздух', ',', 'исчезало', ',', 'но', 'появлялось', 'иногда', '.']"
51,"['Только', 'я', 'со', 'шпаною', 'ходил', 'в', 'дружбанах', ',', 'до', 'сих', 'пор', 'не', 'пойму', ',', 'почему', '.']"
52,"['Я', 'представляю', 'все', 'равно', 'гитары', ',', 'песни', 'и', 'туманы', '.']"
53,"['Я', 'родился', '—', 'доселе', 'не', 'верится', '—', 'в', 'лабиринте', 'фабричных', 'дворов', 'в', 'той', 'стране', 'голубиной', ',', 'что', 'делится', 'тыщу', 'лет', 'на', 'ментов', 'и', 'воров', '.']"
54,А еще я ходил по субботам на плясы и со всеми на равных стройбатовцев извергался.
55,"душегуба повели на расстрел палачи.Убаюкана музыкой жутким, что ты хочешь увидеть во сне?"
56,"['О', 'удивление', ':', 'как', ',', 'у', 'вас', 'нет', 'пистолета', '?']"
57,"['Но', 'верю', ',', 'на', 'горе', 'засвищет', 'рак', ',', 'и', 'заново', 'былое', 'повторится', '.']"
58,"['О', ',', 'если', 'б', 'ты', 'знала', ',', 'как', 'мне', 'одиноко', 'с', 'тобой…', 'Как', 'мне', 'одиноко', ',', 'и', 'как', 'это', 'лучше', 'сказать', ':', 'с', 'какого', 'урока', 'в', 'какое', 'кино', 'убежать', '?']"
59,1
60,"['Как', 'долго', 'я', 'жил', 'на', 'свете', ',', 'как', 'переносил', 'все', 'эти', 'сердцебиенья', ',', 'слезы', ',', 'и', 'даже', 'наоборот', '.']"
61,"['Такие', 'удивительные', 'мысли', 'ко', 'мне', 'приходят', 'с', 'некоторых', 'пор', '.']"
62,"Ты люби меня, красавица, скоро время вовсе кончится, и уже сегодня, кажется, жить не хочется."
63,"['Я', 'тоже', 'стану', 'музыкантом', 'и', 'буду', ',', 'если', 'не', 'умру', ',', 'в', 'рубашке', 'белой', 'с', 'черным', 'бантом', 'играть', 'ночами', 'на', 'ветру', '.']"
64,"['Лучше', 'страшно', ',', 'лучше', 'безнадежно', ',', 'лучше', 'рылом', 'в', 'грязь', '.']"
65,"['Будет', 'теплое', 'пиво', 'вокзальное', ',', 'будет', 'облако', 'над', 'головой', ',', 'будет', 'музыка', 'очень', 'печальная', '—', 'я', 'навеки', 'прощаюсь', 'с', 'тобой', '.']"
66,"['Пацанка', ',', 'я', 'к', 'щеке', 'твоей', 'прилип', '.']"
67,"['Отвращенье', 'домашние', 'кофточки', ',', 'полки', 'книжные', ',', 'фото', 'отца', 'вызывают', 'у', 'тех', ',', 'кто', ',', 'на', 'корточки', 'сев', ',', 'умеет', 'сидеть', 'до', 'конца', '.']"
68,"['Ничего', 'не', 'надо', ',', 'даже', 'счастья', 'быть', 'любимым', ',', 'не', 'надо', 'даже', 'тёплого', 'участья', ',', 'яблони', 'в', 'окне', '.']"
69,"['Окраина', 'стройки', 'советской', ',', 'фабричные', 'красные', 'трубы', '.']"
70,"['В', 'осенний', 'вечер', ',', 'проглотив', 'стакан', 'плохого', 'алкоголя', ',', 'сидит', 'и', 'слушает', 'мотив', ',', 'мотив', 'тоски', ',', 'мотив', 'неволи', '.']"
71,"думал, всё, труба, приехал ты, Борис Борисыч, славный."
72,"['А', 'иногда', 'отец', 'мне', 'говорил', ',', 'что', 'видит', 'про', 'утиную', 'охоту', 'сны', 'с', 'продолженьем', ':', 'лодка', 'и', 'двустволка', '.']"
73,"['Стою', ',', 'взволнованный', 'пеоном', 'и', 'цезурой', '!']"
74,"['Играли', 'в', 'душе', 'моей', 'детской', 'Ерёменко', 'медные', 'трубы', '.']"
75,"['Как', 'таксист', ',', 'на', 'весь', 'дом', 'матерясь', ',', 'за', 'починкой', 'кухонного', 'крана', 'ранит', 'руку', 'и', ',', 'вытерев', 'грязь', ',', 'ищет', 'бинт', ',', 'вспоминая', 'Ивана', 'Ильича', ',', 'чуть', 'не', 'плачет', ',', 'идет', 'прочь', 'из', 'дома', ':', 'на', 'волю', ',', 'на', 'ветер', '—', 'синеглазый', 'худой', 'идиот', ',', 'переросший', 'трагедию', 'Вертер', '—', 'и', 'под', 'грохот', 'зеленой', 'листвы', 'в', 'захламленном', 'влюбленными', 'сквере', 'говорит', 'полушепотом', ':', '«', 'Вы', ',', 'там', ',', 'в', 'партере', '!', '»', 'Не', 'вставай', ',', 'я', 'сам', 'его', 'укрою', ',', 'спи', ',', 'пока', 'осенняя', 'звезда', 'светит', 'над', 'твоею', 'головою', 'и', 'гудят', 'сырые', 'провода', '.']"
76,"['На', 'погонах', 'кровь', 'заката', '.']"
77,"['Ещё', 'неделя', 'света', 'и', 'покоя', ',', 'и', 'ты', 'уйдёшь', 'вся', 'в', 'белом', 'в', 'голубое', ',', 'не', 'ты', ',', 'а', 'ты', 'с', 'закушенной', 'губою', 'пойдёшь', 'со', 'мною', 'мимо', 'цветов', ',', 'решёток', ',', 'в', 'платье', 'строгом', 'вперёд', ',', 'где', 'в', 'тоне', 'дерзком', 'и', 'жестоком', 'ты', 'будешь', 'много', 'говорить', 'о', 'многом', 'со', 'мной', ',', 'я', '—', 'с', 'богом', '.']"
78,"['Фонари', 'не', 'горят', ',', 'как', 'ни', 'кроет', 'их', 'матом', 'электрик-браток', '.']"
79,"['А', 'я', 'поэт', ',', 'поэт', '.']"
80,"['Пускай', 'тогда', ',', 'когда', 'затылком', 'стукну', 'по', 'днищу', 'гроба', ',', 'в', 'подземелье', 'рухну', ',', 'заплаканные', 'свердловчане', 'пусть', 'нарядят', 'механическую', 'куклу', 'в', 'мое', 'шмотье', ',', 'придав', 'движеньям', 'грусть', '.']"
81,"['Авария', '.']"
82,"С брегов стремительным Исети к брегам медлительной Невы я вновь приеду на рассвете, хотя меня не ждете Вы.Как в Екатеринбурге скучно, а в Петербурге, божество мой, сам Александр Семеныч Кушнер меня зовет к себе домой.Сам Алексей Арнольдыч пурин ко мне является с дружком — и сразу номер мой прокурен голландским хорошим табаком.Сам Александр Леонтьев, Шура, с которым с детства я знаком, во название Феба и Амура меня сведет в гласного дом.Меня считаете пьянчугой Вы, Алимкулов Алексей, мне ничего не остается, как покориться форме сей.Да, у меня губа не дура испить вина и вообще."
83,"['Домино', '.']"
84,"['всё', 'к', 'чертям', 'полетело', ',', 'а', 'что', 'называется', 'мной', ',', 'то', 'идёт', 'по', 'осенней', 'аллее', ',', 'и', 'ветер', 'свистит-надрывается', ',', 'и', 'клубится', 'листва', 'за', 'моею', 'спиной', '.']"
85,"['Потому', 'уменьшительных', 'суффиксов', 'не', 'люблю', ',', 'и', 'когда', 'постучат', 'и', 'попросят', 'с', 'улыбкою', 'уксуса', ',', 'я', 'исполню', 'желанье', 'ребят', '.']"
86,"['Дождь', 'в', 'Нижнем', 'Тагиле', '.']"
87,"['И', 'всякий', 'раз', ',', 'не', 'повстречав', 'отца', ',', 'я', 'просыпаюсь', ',', 'оттого', 'что', 'плачу', '.']"
88,"['Итак', ',', 'начинался', 'сентябрь', ',', 'моросило', '.']"
89,"['И', 'без', 'толку', 'искать', 'слова', 'для', 'торжества', 'такой', 'печали.Для', 'пьяницы-говоруна', 'на', 'флейте', 'отзвучало', 'лето', ',', 'теперь', 'играет', 'тишина', 'для', 'протрезвевшего', 'поэта.Я', 'ближе', 'к', 'зеркалу', 'шагну', 'и', 'всю', 'печаль', 'собой', 'закрою', '.']"
90,"['Раз', ',', 'два', ',', 'три', ',', 'четыре', ',', 'пять', 'все', '—', 'в', 'машину', ',', 'вашу', 'мать.Зимний', 'вечер', '.']"
91,"['Когда', 'в', 'подъездах', 'закрывают', 'двери', 'и', 'светофоры', 'смотрят', 'в', 'небеса', ',', 'я', 'перед', 'сном', 'гуляю', 'в', 'этом', 'сквере', ',', 'с', 'завидной', 'регулярностью', ',', 'по', 'мере', 'возможности', ',', 'по', 'полтора', 'часа', '.']"
92,"['Светало', '.']"
93,"['Молодость', ',', 'свет', 'над', 'башкою', ',', 'случайные', 'встречи', '.']"
94,"['И', 'если', ',', 'пьян', ',', 'с', 'последнею', 'любовью', 'к', 'щеке', 'устаприжал', 'и', 'всё', ',', 'и', 'взял', 'рукою', 'руку', ',', '—', 'она', 'поймет', '.']"
95,"['—', 'ослов…', 'Под', 'сине-голубыми', 'облаками', 'стою', 'и', 'тупо', 'развожу', 'руками', ',', 'весь', 'музыкою', 'полон', 'до', 'краев', '.']"
96,"['Пол-облака', 'висит', 'над', 'головами', '.']"
97,"['О', 'печальном', 'смешно', 'говорила', '.']"
98,"['И', 'только', 'небо', ',', 'может', 'быть', ',', 'глядело', 'пристально', 'и', 'нежно', 'на', 'относившихся', 'небрежно', 'к', 'прекрасному', 'глаголу', 'ЖИТЬ', '.']"
99,"И что, блин, может быть, потом тут будет, видимо, музей.Поставят музыку печального."
100,"Хорошо живет провинция, четырьмя горит закатами."
101,"['Что-то', 'слишком', 'расширился', 'мой', 'кругозор', ',', 'а', 'когда-то', 'был', 'равен', 'двору', '.']"
102,"['Да', 'я', 'не', 'матерюсь', '.']"
103,"['Увы', ',', 'порочный', 'вкус', '.']"
104,"['Я', 'выпью', 'и', 'на', 'пять', 'минут', 'прилягу', ',', 'потом', 'проснусь', ':', 'ан', 'жизнь', 'моя', 'прошла', '.']"
105,"['Как', 'сказал', 'тот', ',', 'кто', 'умер', 'уже', ',', 'безобразное', '—', 'это', 'прекрасное', ',', 'что', 'не', 'может', 'вместиться', 'в', 'душе', '.']"
106,"Раскричались вороны, Воет ветер."
107,"['Стою', 'на', 'ринге', '.']"
108,Да в будка за поллитру толкнуть.
109,"['Семь', 'лет', 'подряд', 'хожу', 'в', 'одном', 'и', 'том', 'же', 'пальто', ',', 'почти', 'не', 'ведая', 'стыда', ',', '—', 'не', 'просто', 'подвернувшийся', 'прохожий', 'писатель', ',', 'не', 'прозаик', ',', 'а', 'хороший', 'поэт', ',', 'и', 'это', 'важно', ',', 'господа', '.']"
110,"['Смотри', ',', 'не', 'матерись', '»', '.']"
111,"['С', 'качелей', 'прыгали', 'в', 'листву', ',', 'что', 'дворники', 'собрать', 'успели', '.']"
112,"['Живи', ',', 'другого', 'не', 'дано', '!']"
113,"['Погадай', 'мне', ',', 'цыганка', ',', 'на', 'медный', 'грош', ',', 'растолкуй', ',', 'отчего', 'умру', '.']"
114,"['Как', 'дождик', 'по', 'карнизу', 'отстучало', ',', 'а', 'может', ',', 'просто', 'не', 'было', 'его.Но', 'мальчик', 'был', ',', 'хотя', 'бы', 'для', 'порядку', ',', 'что', 'проводил', 'ладонью', 'по', 'лицу', ',', 'молчал', ',', 'стихи', 'записывал', 'в', 'тетрадку', ',', 'в', 'которых', 'строчки', 'двигались', 'к', 'концу', '.']"
115,"Похоронные трубы не переставали играть — постоянно в квартале над кем-то рыдали, рыдали."
116,"['Рукой', 'своей', 'касаюсь', 'невзначай', 'её', 'руки', '.']"
117,"['Да', 'о', 'том', ':', 'облака', 'для', 'меня', 'дурака', '.']"
118,"['Заброшенная', 'лесопилка', '.']"
119,"['Вот', 'мы', 'и', 'вышли', 'в', 'осень', 'из', 'кинозала', 'и', 'зашагали', 'по', 'длинной', 'аллее', 'жизни', '.']"
120,"['Из', 'второго', 'цеха', '—', 'гости', '.']"
