,stolbec
174,"['На', 'спину', '«', 'Levi', '’', 's', '»', 'пришпандорено', ',', '«', 'West', 'Island', '»', 'на', 'рукав', 'пришпилено', '.']"
175,"['А', 'кони', ',', 'кони', '!', '»', '.']"
176,"['Скучая', ',', 'я', 'вставал', 'из-за', 'стола', 'и', 'шел', 'читать', 'какого-нибудь', 'Кафку', ',', 'жалеть', 'себя', 'и', 'сочинять', 'стихи', 'под', 'Бродского', ',', 'о', 'том', ',', 'что', 'человек', ',', 'конечно', ',', 'одиночество', 'в', 'квадрате', ',', 'нет', ',', 'в', 'кубе', '.']"
177,"['Ай', ',', 'стареющий', 'мальчик', ',', 'мне', ',', 'эпигону', ',', 'мне', 'выпало', 'такое', 'счастье', ',', 'отпетому', 'хулигану', ',', 'любящему', '«', 'Пушторг', '»', 'и', '«', 'Лошади', 'в', 'океане', '»', ',', '—', 'ангел', 'с', 'отбитым', 'крылом', 'под', 'синим', 'дождём', 'в', 'окне', '.']"
178,"['Вот', 'бродяги-работяги', 'поправляются', 'с', 'утра', '.']"
179,"['Только', 'без', 'меня', '.']"
180,"['Что', 'написано', ',', 'по', 'крайней', 'мере', 'в', 'первых', 'строчках', ',', 'припомни', 'без', 'зла', '.']"
181,"['И', 'снова', ':', 'что', 'ты', 'смотришь', ',', 'идиот', '?']"
182,"['Хорошо', ',', 'если', 'есть', 'пистолет', ',', 'остальное', '—', 'потом', '.']"
183,"['Он', 'курит', 'неспешно', ',', 'он', 'не', 'говорит', 'ничего', '(', 'прижались', 'к', 'коленям', 'его', 'печально', 'и', 'нежно', 'козлёнок', 'с', 'барашком', ')', ',', 'и', 'слёз', 'его', 'очи', 'полны', '.']"
184,"['Хотел', 'уйти', ',', 'но', 'выпил', 'и', 'остался', 'удерживать', 'сей', 'призрачный', 'рубеж', ':', 'то', 'ангельские', 'отражать', 'атаки', ',', 'то', 'дьявольские', ',', 'охраняя', 'брешь', 'сияющую', 'в', 'беспредметном', 'мраке', '.']"
185,"['Или', 'нехотя', 'звонил', 'замужней', 'дуре', ',', 'любящей', 'стихи', 'под', 'Бродского', ',', 'а', 'заодно', 'меня', '—', 'какой-то', 'экзотической', 'любовью', '.']"
186,"['Над', 'могилою', 'Романа', 'только', 'синий', 'свет', '.']"
187,"['Тебе', 'уже', 'вставать', ',', 'а', 'мне', 'пора', 'ложиться', 'спать.А', 'то', 'б', 'взяла', 'стишок', ',', 'и', 'так', 'сказала', 'мне', ':', 'дурак', ',', 'тут', 'что-то', 'очень', 'Пастернак', ',', 'фигня', ',', 'короче', ',', 'мрак.А', 'я', 'из', 'всех', 'удач', 'и', 'бед', 'за', 'то', 'тебя', 'любил', ',', 'что', 'полюбил', 'в', 'пятнадцать', 'лет', ',', 'и', 'невзначай', 'отбилу', 'Гриши', 'Штопорова', ',', 'у', 'комсорга', 'школы', ',', 'блин', '.']"
188,"['Ни', 'печали', 'женской', ',', 'ни', 'печали', ',', 'горечи', ',', 'стыда', '.']"
189,— и пожинал плоды любви запретной.
190,"['И', 'чёрное', 'море', 'в', 'ответ', 'гордо', 'волнуется', ':', 'есть', 'у', 'него', 'пистолет', '!']"
191,"['Когда', 'в', 'подъездах', 'закрывают', 'двери', 'и', 'светофоры', 'смотрят', 'в', 'небеса', ',', 'я', 'перед', 'сном', 'гуляю', 'в', 'этом', 'сквере', ',', 'с', 'завидной', 'регулярностью', ',', 'по', 'мере', 'возможности', ',', 'по', 'полтора', 'часа', '.']"
192,"['За', 'магазином', 'ввечеру', 'стояли', ',', 'тихо', 'говорили', '.']"
193,"['Не', 'приеду', 'никогда', '.']"
194,"['В', 'голубом', 'от', 'дыма', 'ресторане', 'слушать', 'голубого', 'скрипача', ',', 'денежки', 'отсчитывать', 'в', 'кармане', ',', 'развернув', 'огромные', 'плеча', '.']"
195,"['Не', 'горят', 'фонари', '.']"
196,"['Где', 'и', 'с', 'кем', ',', 'и', 'когда', 'это', 'было', ',', 'только', 'это', 'не', 'я', 'сочинил', ':', 'ты', 'меня', 'никогда', 'не', 'любила', ',', 'это', 'я', 'тебя', 'очень', 'любил', '.']"
197,"['«', 'Вы', '»', 'говори', ',', 'дурак', ',', 'тому', ',', 'кто', 'зачислен', 'к', 'мертвым', ',', 'а', 'из', 'живых', 'уволен', '.']"
198,"['Будет', 'ей', 'что', 'вспомнить', 'над', 'могилой', 'её', 'Бориса', '.']"
199,"['И', 'пусть', 'себе', 'по', 'скверу', 'шкандыбает', ',', 'пусть', 'курит', '«', 'Приму', '»', 'или', '«', 'Беломор', '»', '.']"
200,"['Лучше', 'гнить', 'в', 'гробе', '.']"
201,"['Выходил', 'я', 'один', 'на', 'дорогу', ',', 'чуть', 'шатаясь', ',', 'мотор', 'тормозил', '.']"
202,"['В', 'одних', 'и', 'тех', 'же', 'брюках', 'и', 'ботинках', ',', 'один', 'и', 'тот', 'же', 'выдыхая', 'дым', '.']"
203,"['Я', ',', 'представляющий', 'шпану', 'спортсмен-полудебил.Зачем', 'тогда', 'он', 'не', 'припёр', 'меня', 'к', 'стене', ',', 'мой', 'свет', '?']"
204,"['С', 'голубизной', 'мешалось', 'серебро', ',', 'мешалось', 'серебро', 'с', 'голубизною', '.']"
205,"['Перед', 'кем', 'вина', '?']"
206,"['Трепетала', 'надменная', 'бровка', ',', 'матерок', 'с', 'алой', 'губки', 'слетал', '.']"
207,"['Дай', 'нищему', 'на', 'опохмелку', 'денег', '.']"
208,"['Я', ',', 'детка', ',', 'обниму', 'тебя', ',', 'и', 'вот', ',', 'прожекторы', 'осветят', 'наши', 'лица', '.']"
209,"['Не', 'стесняясь', ',', 'подойду', 'поближе', 'поблагодарить', 'тебя', 'за', 'то', ',', 'что', 'когда', 'на', 'целом', 'белом', 'свете', 'та', 'зима', 'была', 'белым-бела', ',', 'той', 'зимой', ',', 'когда', 'мы', 'были', 'дети', ',', 'ты', 'не', 'умирала', ',', 'а', 'жила', ',', 'и', 'потом', ',', 'когда', 'тебя', 'не', 'стало', ',', '—', 'не', 'всегда', ',', 'но', 'в', 'самом', 'ярком', 'сне', '—', 'ты', 'не', 'стала', 'облаком', ',', 'а', 'стала', 'сниться', 'мне', ',', 'ты', 'стала', 'сниться', 'мне', '.']"
210,"Описав бы все это, с « Памиром » в перстах на века в чёрного бронзе застыть над Свердловском, да на кукишей я нужен."
211,"['И', 'был', 'я', 'так', 'молод', ',', 'когда', '—', 'то', 'надменно', ',', 'то', 'нежно', ',', 'то', 'грубо', ',', 'то', 'жалобно', ',', 'то', 'виновато…', 'Ерёменко', 'медные', 'трубы', '!']"
212,Среди прононса свердловского пили пиво в парку названия Маяковского.
213,"['Убита', 'пятая', 'бутылка', '.']"
214,"['На', 'прощанье', 'страшнее', 'рассвет', ',', 'чем', 'закат', '.']"
215,"['Ночь', '.']"
216,"['Что', 'ж', 'вы', 'не', 'взяли', '?']"
217,"['Боже', 'мой', '!']"
218,"Многократно все это еще мне приснится : колокольчики чая, лик проводницы, подозрительный к обращению на « вы ».Прячет туфли под полку седой подполковник да супружнику подмигивает : уголовник!"
219,"['И', ',', 'предвкушая', 'вечную', 'разлуку', ',', 'не', 'оттолкнет', '.']"
220,"['Над', 'домами', ',', 'домами', ',', 'домами', 'голубые', 'висят', 'облака', '—', 'вот', 'они', 'и', 'останутся', 'с', 'нами', 'на', 'века', ',', 'на', 'века', ',', 'на', 'века', '.']"
221,И женщина хрипло кричит из окна : они же его убьют.
222,"['И', 'глаза', 'закрытые', 'Артема', 'видят', 'сон', 'о', 'том', ',', 'что', 'навсегда', 'я', 'пришел', 'и', 'не', 'уйду', 'из', 'дома…', 'И', 'горит', 'осенняя', 'звезда', '.']"
223,"['Провожая', ',', 'не', 'пускали', ',', 'подарили', 'мне', 'цветок.Закурил', 'и', 'удалился', 'твёрдо', ',', 'холодно', ',', 'хотя', 'уходя', ',', 'остановился', '—', 'оглянуться', ',', 'уходя.О', ',', 'как', 'ярок', 'свет', 'в', 'окошке', 'на', 'десятом', 'этаже', '.']"
224,"['Как', 'старики', ',', 'как', 'ангелы', ',', 'как', 'дети', ',', 'мы', 'будем', 'жить', 'одни', 'на', 'целом', 'свете', '.']"
225,"Женя, что ли, что бегал за водярой и Багрицкого знал наизусть… Кто мой зажигалку отмел?"
226,"['Былая', 'школьница', ',', 'по', 'плану', '—', 'У', 'нас', 'развод', ',', 'да', 'будет', 'так', '.']"
227,"['За', 'Обью', '—', 'Кама', ',', 'за', 'Камою', '—', 'Волга', '.']"
228,"['И', 'трехрублевка', ',', 'что', 'надорвана', ',', 'изъята', 'у', 'Серёги', 'Жилина', '.']"
229,"['«', 'Душа', 'моя', ',', 'приеду', '»', '.']"
230,"« всех попишу, — начинает он тихо, потом орет : быдла! » Развязно со всех сторон обступает его народ.Забирают топор, говорят « ну вот! », бьют коленом в нутро."
231,"['Я', 'верю', ',', 'мы', 'живем', 'по', 'кругу', ',', 'не', 'умираем', 'никогда', '.']"
232,"['В', 'черную', 'ночь', 'уходит', 'в', 'белом', 'плаще', ',', 'вообще', 'одинок', ',', 'одинок', 'вообще', '.']"
233,"За стеной — дребезжанье гитары, льется песнь, подпевают певцу захмелевшие здорово пары — да и впрямь, ночь подходит к концу.Представляю себе идиота, оптимиста, любовника : так батькины же не спеть, коль ловля?"
234,"['Под', 'утро', 'я', 'проснусь', 'и', 'сквозь', 'рваньё', 'тумана', ',', 'тоску', 'и', 'тошноту', ',', 'увижу', 'за', 'окном', ':', 'изрядная', 'река', ',', 'её', 'названье', '—', 'Кама', '.']"
235,"['Зафыркал', 'смрадно', '.']"
236,"['Там', ',', 'за', 'окном', ',', 'росли', 'большие', 'ели', '—', 'деревья', 'бора.План', 'бегства', 'из', 'больницы', 'при', 'пожаре', 'и', 'все', 'такое', '.']"
237,"['На', 'заре', 'гагару', 'подстрелили', '.']"
238,"['Только', 'надо', 'крепче', 'тебя', 'обнять', 'и', 'потом', 'ладоней', 'не', 'отнимать', 'сквозь', 'туман', 'и', 'дождь', ',', 'через', 'сны', 'и', 'сны', '.']"
239,"['А', 'право', ',', 'было', 'б', 'шороху', 'в', 'отчизне', ',', 'когда', 'б', 'подобны', 'почести', '—', 'при', 'жизни…', 'Хотя', ',', 'возможно', ',', 'это', 'перебор', '.']"
240,"['У', 'памяти', 'на', 'самой', 'кромке', 'и', 'на', 'единственной', 'ноге', 'стоит', 'в', 'ворованной', 'дубленке', 'Василий', 'Кончев', '—', 'Гончев', ',', '«', 'Ге', '»', '!']"
241,"['Вот', 'моя', 'строка', ':', 'без', 'меня', 'отчаливайте', ',', 'хватит', '—', 'небо', ',', 'облака', '!']"
242,"И то сказать : пришёл в одних хороняках с носками, кровь хрустела на зубах, нога недомогала, грезились могилы.Ну, подождал, пока сойдет отёк."
243,"['О', 'как', 'досадно', 'было', ',', 'но', 'все', 'в', 'памяти', 'освещено', 'каким-то', 'жалостливым', 'светом', '.']"
244,А во дворе весна.Белые яблони.
245,"['Ширяться', 'дурью', ',', 'пить', 'вино', 'в', 'поселок', 'покачу', 'цыганский', '.']"
246,"['Вина', '.']"
247,"['Не', 'вели', 'бухого', 'до', 'кровати', '.']"
248,"['Снег', 'за', 'окном', 'торжественный', 'и', 'гладкий', ',', 'пушистый', ',', 'тихий', '.']"
249,"['Я', 'за', 'отца', 'досматриваю', 'сны', ':', 'прозрачным', 'этим', 'озером', 'блуждаю', 'на', 'лодочке', 'дюралевой', 'с', 'двустволкой', ',', 'любовно', 'огибаю', 'камыши', ',', 'чучела', 'расставляю', ',', 'маскируюсь', 'и', 'жду', ',', 'и', 'не', 'промахиваюсь', ',', 'точно', 'стреляю', ',', 'что', 'сомнительно', 'для', 'сна', '.']"
250,"['И', 'даже', ',', 'если', 'даже', 'не', 'играли', ',', 'так', ',', 'в', 'трубы', 'дули', ',', 'но', 'не', 'извлекали', 'мелодию', ',', 'что', 'очень', 'вероятно', ',', 'пошли', 'обратно', '.']"
251,"['Вы', ',', 'Нина', ',', 'думаете', ',', 'вы', 'нужны', 'мне', ',', 'что', 'вы', ',', 'я', ',', 'увы', ',', 'люблю', 'прелестницу', 'Ирину', ',', 'а', 'вы', ',', 'увы', ',', 'не', 'таковы.Ты', 'полагаешь', ',', 'Гриня', ',', 'ты', 'мой', 'друг', 'единственный', ',', '—', 'мечты', '!']"
252,"Ты заснула, а в комнате нашего нуль отразилась в окне.Смерть на цыпочках ходит за мною, окровавленный бант теребя."
253,"['В', 'общежитии', 'жиркомбината', 'некто', 'Н.', ',', 'кроме', 'прочих', ',', 'жила', '.']"
254,"['Включили', 'новое', 'кино', ',', 'и', 'началась', 'иная', 'пьянка', '.']"
255,"['И', 'тех', ',', 'с', 'которыми', 'живу', ',', 'я', 'не', 'люблю.Просторы', ',', 'реки', ',', 'облака', ',', 'того-сего', '.']"
256,"['Уйдем', '—', 'вернемся', 'именно', 'сюда.Как', 'я', 'любил', 'унылые', 'картины', ',', 'посмертные', 'осенние', 'штрихи', ',', 'где', 'в', 'синих', 'лужах', 'ягоды', 'рябины', ',', 'и', 'с', 'середины', 'пишутся', 'стихи.Поскольку', 'их', 'начало', 'отзвучало', ',', 'на', 'память', 'не', 'оставив', 'ничего', '.']"
257,"['В', 'последнем', 'ряду', '—', 'пиво', 'и', 'сигарета', '.']"
258,"Ибо где те засранцы, чтоб походя салютовать — к горсовету спиной, глазами ко мне и рассвету?"
259,"['Целовала', 'меня', 'и', 'любила', ',', 'разливала', 'по', 'кружкам', 'вино', '.']"
260,"['Прожекторы', 'ночного', 'дискоклуба', 'гуляли', 'по', 'зеленым', 'облакам.Тогда', 'мне', 'было', 'восемнадцать', 'лет', ',', 'я', 'пьяный', 'был', ',', 'я', 'нес', 'изящный', 'бред', ',', 'на', 'фоне', 'безупречного', 'заката', 'шатался', '—', 'полыхали', 'облака', '—', 'и', 'материл', 'придурка', 'азиата', ',', 'сжав', 'кулаки', 'в', 'карманах', 'пиджака.Где', 'ты', ',', 'где', 'азиат', ',', 'где', 'тот', 'пиджак', '?']"
261,"Плевать, если знаешь, что было со мной, что будет со мной."
262,"['Вдруг', 'вспомнятся', 'восьмидесятые', 'с', 'толпою', 'у', 'кинотеатра', '«', 'Заря', '»', ',', 'ребята', 'волосатые', 'и', 'оттепель', 'в', 'начале', 'марта', '.']"
263,"['Дали', 'водки', ',', 'целовали', ',', 'обнимали', ',', 'сбили', 'с', 'ног', '.']"
264,"['И', 'беспокоен', 'мой', 'покой', ',', 'и', 'счастье', 'счастья', 'не', 'приносит.На', 'землю', 'падает', 'листва', ',', 'но', 'долго', 'кружится', 'вначале', '.']"
265,"['Жизнь', 'бесполезна', 'и', 'черна', '.']"
266,"['Летят', 'снежинки', 'аккуратные', '.']"
267,"['Типа', 'чести', 'невольник', '.']"
268,"['Приехали', '.']"
269,"['Представь', 'себе…', 'А', 'впрочем', ',', 'что', 'ты', 'знаешь', 'про', 'наши', 'про', 'охотничьи', 'дела', '!']"
270,Только чей-то локоточек пошатнул часы песочные.
271,"['Есть', 'у', 'меня', 'дружок', 'Вано', 'и', 'адресок', 'его', 'жиганский', '.']"
272,"['Свалка', 'памяти', ',', 'разное', ',', 'разное', '.']"
273,"['Больше', 'черного', 'горя', ',', 'поэт', '.']"
274,"['И', 'я', 'услышу', 'поутру', ',', 'очнувшись', 'головой', 'на', 'свае', ':', 'трамваи', 'едут', 'по', 'нутру', ',', 'под', 'мостом', 'дребезжат', 'трамваи', '.']"
275,"['Исчезли', 'фартучки', ',', 'манжеты', ',', 'А', 'с', 'ними', 'весь', 'ажурный', 'мир', '.']"
276,"['Вот', 'с', 'корзинами', 'маячат', 'бабки', ',', 'дети-грибники', '.']"
277,"['Я', 'шел', 'за', 'снегом', ',', 'размышляя', 'о', 'бог', 'знает', 'чем', ',', 'березы', 'шли', 'за', 'мною', '.']"
278,"['С', 'какой', 'перемены', 'в', 'каком', 'направленье', 'уйти', '?']"
279,"['Ты', ',', 'отворачиваясь', ',', 'прячешь', 'слезы', '.']"
280,"['Из', 'окошка', 'взгляну', 'на', 'газон', 'и', 'обрубок', 'куста', '.']"
281,"['Много', 'было', 'всего', ',', 'музыки', 'было', 'много', ',', 'а', 'в', 'кинокассах', 'билеты', 'были', 'почти', 'всегда', '.']"
282,"['Про', 'те', 'же', 'самые', 'чувства', 'показывало', 'искусство', ',', 'про', 'этот', 'самый', 'парк', 'отдыха', ',', 'про', 'мальчика', 'на', 'руках', '.']"
283,"['А', 'ты', 'останься', 'в', 'стороне', '—', 'белей', 'черёмухой', 'в', 'окне', 'и', ',', 'не', 'дотягиваясь', ',', 'смейся', ',', 'протягивая', 'руку', 'мне', '.']"
284,"['Меня', 'обуют', 'на', 'мосту', 'три', 'ухаря', 'из', 'ППС', '.']"
285,"['Как', 'Пушкин', ',', 'курил', 'у', 'плетня', 'с', 'мужиками', ',', 'и', 'было', 'мне', 'так', 'безотрадно', 'и', 'горько', '.']"
286,"флаги — червлёные, скамейки — синие."
287,"Сидим вида компаньей тесным в одного пивной на Моховой.На фоне килек и стаканов сидим, не хочим встать со стулов."
288,"['Бродяга', 'на', 'скамейке', 'в', 'парке', 'спал', ',', 'постелив', 'газетный', 'лист', '.']"
289,"['Есть', 'пистолет', ',', 'чёрный', 'браунинг', 'в', 'чёрном', 'мазуте', '.']"
290,"Дай мне денежек, я двину к собору, сии свечи поставлю, отвечу благожелательном на добро."
291,"['Последняя', 'неделя', 'лета', ',', 'на', 'нас', 'глядят', 'Алена', ',', 'Света', ',', 'все', 'прыгнули', ',', 'а', 'я', 'не', 'смог', ',', 'что', 'очень', 'плохо', 'для', 'поэта', '.']"
292,"['Жаров', '.']"
293,"['На', 'скамейке', 'человек', 'какой-то', 'спит', '.']"
294,"['«', 'А', ',', 'пустяк', ',', '—', 'сказали', 'только', ',', 'выключая', 'ближний', 'свет', ',', '—', 'это', 'пьяный', 'Рыжий', 'Борька', ',', 'первый', 'в', 'городе', 'поэт', '»', '.']"
295,"['И', 'озеро', ',', 'где', 'каждый', 'островок', 'ему', 'знаком', '.']"
296,"['Но', 'стороны-то', 'две', ',', 'а', 'не', 'четыре', '.']"
297,"['В', 'стране', 'чугун', 'изрядно', 'плавится', 'и', 'проектируются', 'танки', '.']"
298,"['Тянулись', 'гружённые', 'гравием', 'баржи', '.']"
299,"['Дождь', '.']"
300,"['Летят', 'снежинки', 'аккуратные…', 'С', 'антресолей', 'достану', '«', 'ТТ', '»', ',', 'покручу-поверчу', '—', 'я', 'ещё', 'поживу', 'и', 'т.', 'д.', ',', 'а', 'пока', 'не', 'хочу', 'этот', 'свет', 'покидать', ',', 'этот', 'свет', ',', 'этот', 'город', 'и', 'дом', '.']"
301,"['Скрипки', 'ли', 'невидимые', 'пели', ',', 'или', 'что', 'иное', ',', 'если', 'взять', 'двух', 'влюблённых', 'на', 'пустой', 'аллее', ',', 'музыка', 'не', 'может', 'не', 'играть', '.']"
302,"['И', 'на', 'каждом', 'на', 'вагоне', ',', 'волей', 'вольною', 'пьяна', ',', '«', 'Приму', '»', 'ехала', 'курила', 'вся', 'свердловская', 'шпана', '.']"
303,"['И', 'позднею', 'ночью', 'на', 'тощей', 'кровати', 'я', 'думал', 'о', 'том', ',', 'что', 'кончается', 'лето', ',', 'что', 'я', 'понимаю', ',', 'что', 'не', 'виноваты', 'ни', 'те', ',', 'ни', 'другие', ',', 'что', 'песенка', 'спета', '.']"
304,"['И', 'когда', 'ты', 'плакала', 'по', 'ночам', ',', 'я', ',', 'ладони', 'в', 'мыслях', 'к', 'твоим', 'плечам', 'прижимая', ',', 'смог', 'наконец', 'понять', ',', 'понял', 'я', ':', 'ты', 'дочь', 'моя', ',', 'а', 'не', 'мать', '.']"
305,"['Тлеют', 'фары', 'италийских', '«', 'жигулей', '»', '.']"
306,"['Дождь', 'орошает', ',', 'но', 'и', 'губит', ',', 'открой', 'усталый', 'алый', 'рот', '.']"
307,"['Жалуйтесь', ',', 'читайте', 'и', 'жалейте', ',', 'греясь', 'у', 'огня', ',', 'вслух', 'читайте', ',', 'смейтесь', ',', 'слёзы', 'лейте', '.']"
308,"['Длиною', 'в', 'жизнь', 'любая', 'из', 'дорог', '.']"
309,"А идти и идти никуда ниоткуда, ожидая то хохота, то возмущения, то чуда."
310,"['Моя', 'песенка', 'спета', '.']"
311,"['Как', 'хорошо', 'мы', 'плохо', 'жили', ',', 'прикуривали', 'на', 'ветру', '.']"
312,"['Ты', 'сам-то', 'кто', '?']"
313,"['Оно', 'про', 'лето', 'было', 'кино', ',', 'про', 'счастье', ',', 'не', 'про', 'беду', '.']"
314,"['Пойдёмте', 'и', 'не', 'протестуйте', ',', 'в', 'небе', 'огромном', 'зажглась', 'сто', 'вторая', 'звезда', '.']"
315,"['Ведь', 'не', 'начнётся', 'никогда', '.']"
316,"['Рейн', 'Евгений', 'Борисыч', 'уходит', 'в', 'ночь', ',', 'в', 'белом', 'плаще', 'английском', 'уходит', 'прочь', '.']"
317,"['Мы', 'с', 'тобой', 'прокатились', 'на', 'А', 'и', 'на', 'Б', ',', 'поглядели', ',', 'кто', 'первым', 'умрёт', '.']"
318,"['Как', 'дурень', ',', 'стою', 'на', 'краю', ',', 'да', 'и', 'только', ':', 'не', 'знаю', ',', 'как', 'быть', ',', 'и', 'что', 'делать', '—', 'не', 'знаю', '.']"
319,"['Этот', 'звон', 'растягивая', ',', 'снова', 'стягивая', ',', 'можно', 'разглядеть', 'музыку', ',', 'забыться', ',', 'вставить', 'слово', ',', 'про', 'себя', 'печальное', 'напеть', '.']"
320,"['А', 'право', ',', 'было', 'б', 'шороху', 'в', 'отчизне', ',', 'когда', 'б', 'подобны', 'почести', '—', 'при', 'жизни…', 'Хотя', ',', 'возможно', ',', 'это', 'перебор', '.']"
321,"['Знать', ',', 'забрили', 'болезного', '.']"
322,"['О', ',', 'раньше', 'было', 'лучше', ',', 'чем', 'сейчас.По-доброму', ',', 'с', 'улыбкой', ',', 'как', 'во', 'сне', ':', 'и', 'чудом', 'не', 'потухла', 'папироска', ',', 'мы', 'все', 'лежим', 'на', 'площади', 'Свердловска', ',', 'где', 'памятник', 'поставят', 'только', 'мне', '.']"
323,"['Михалкова', 'ценила', 'кино', '.']"
324,На Моховой мемориальную про нас табличку забобенят.
325,"['И', 'обратно', '—', 'по', 'грязи', ',', 'с', 'водкою', 'из', 'магази…', 'Что', 'такое', '?']"
326,"['Эх', ',', 'за', 'десять', 'баксов', 'к', 'дому', 'милой', '—', 'ну', 'ты', 'и', 'придурок', ',', 'скажет', 'киса', '.']"
327,"['Не', 'в', 'плане', 'не', 'лишенной', 'красоты', ',', 'Но', 'вычурной', 'и', 'артистичной', 'позы', ',', 'А', 'потому', 'что', 'там', 'мои', 'кенты', ',', 'Их', 'профили', 'на', 'мраморе', 'и', 'розы', '.']"
328,"['Снова', 'уходила', ',', 'вишню', 'мыла', 'и', 'на', 'блюдце', 'приносила', 'мне', '.']"
329,"['А', 'то', 'еще', ',', 'что', ',', 'вопреки', 'злословью', ',', 'она', 'проста', '.']"
330,"['Мальчик-еврей', 'принимает', 'из', 'книжек', 'на', 'веру', 'гостеприимство', 'и', 'русской', 'души', 'широту', ',', 'видит', 'березы', 'с', 'осинами', ',', 'ходит', 'по', 'скверу', 'и', 'христианства', 'на', 'сердце', 'лелеет', 'мечту', '.']"
331,"['Ночь', '.']"
332,"Леонтьев, пурин и Кирдянов."
333,"['И', 'настанет', 'время', 'потом', ',', 'потом', '—', 'не', 'на', 'черно-белом', ',', 'а', 'на', 'цветном', 'фото', ',', 'не', 'на', 'фото', ',', 'а', 'наяву', 'точно', 'так', 'же', 'я', 'тебя', 'обниму', '.']"
334,"['Щекою', 'прислонясь', 'к', 'вагонному', 'окну', ',', 'я', 'думал', ',', 'как', 'ко', 'мне', 'фортуна', 'благосклонна', ':', 'и', 'заплачу', '’', 'за', 'всех', ',', 'и', 'некий', 'дар', 'верну', '.']"
335,"['Прошел', 'запой', ',', 'а', 'мир', 'не', 'изменился', '.']"
336,для чего выпускают их из будки?
337,"Не дослушаю шепота, выползу в тамбур."
338,"['Звучит', 'и', 'давит', 'на', 'виски', 'мотив', 'тоски', ',', 'мотив', 'неволи', '.']"
339,"['Восьмидесятые', ',', 'усатые', ',', 'хвостатые', 'и', 'полосатые', '.']"
340,"['За', 'Обью', '—', 'Кама', ',', 'за', 'Камою', '—', 'Волга', '—', 'по', 'небу', 'и', 'горю', 'дорога', 'сквозная', '.']"
341,"['Городок', ',', 'что', 'я', 'выдумал', 'и', 'заселил', 'человеками', ',', 'городок', ',', 'над', 'которым', 'я', 'лично', 'пустил', 'облака', ',', 'барахлит', ',', 'ибо', 'жил', ',', 'руководствуясь', 'некими', 'соображениями', ',', 'якобы', 'жизнь', 'коротка.Вырубается', 'музыка', ',', 'как', 'музыкант', 'ни', 'старается', '.']"
342,"['Кальпиди', 'так', 'Кальпиди', '.']"
343,"['Им', 'тридцать', 'с', 'гаком', ',', 'все', 'филологи', 'оне', '.']"
344,"['Врёте', '!']"
345,"['Лейкин', 'сорока', 'двух', 'лет', ',', 'на', 'ремне', 'его', '«', 'макаров', '»', '.']"
346,"['Любите', ',', 'Боря', ',', 'поэзию', '?']"
347,"['Пьют', 'и', 'плачут', ',', 'девок', 'обнимают', ',', 'снова', 'пьют', 'и', 'всё-таки', 'молчат', ',', 'головой', 'тонически', 'качают', ',', 'матом', 'силлабически', 'кричат', '.']"
348,"['А', 'относительно', 'пения', '—', 'песня', 'легко', 'то', 'форму', 'города', 'некоего', 'принимает', ',', 'то', 'повисает', 'над', 'городом', ',', 'как', 'облакo', '.']"
349,"И подступят к гортани пошлые слёзы, в утешение нового рифму даря.Это осень и слякоть, и хочется плакать, но уже без хотения в тёплого мякоть одеяла уткнуться, без « стукнуться лбом »."
350,"['Чтоб', ',', 'улыбаясь', ',', 'спал', 'пропойца', 'под', 'небом', ',', 'выпитым', 'до', 'дна', ',', '—', 'спи', ',', 'ни', 'о', 'чем', 'не', 'беспокойся', ',', 'есть', 'только', 'музыка', 'одна', '.']"
351,"['Ты', 'подурнела', ',', 'я', 'похорошел', ',', 'и', 'снов', 'моих', 'ты', 'больше', 'не', 'хозяйка', '.']"
352,"Ах, мой твоя помнит, мой благожелательный!"
353,"Гриша-поросенок выходит во двор, в правого руке топор."
354,"['Загар', 'бронёю', 'на', 'узбеке', '.']"
355,"['Больше', 'неба', ',', 'тепла', ',', 'человечности', '.']"
356,"['Сквер', 'будет', 'назван', 'именем', 'моим', '.']"
357,"['Каптерка', '.']"
358,"['А', 'там', ',', 'на', 'оставленном', 'мной', 'перевале', ',', 'как', 'в', 'песне', 'дешёвой', ',', 'что', 'душу', 'саднила', ',', 'жена', 'уходила', ',', 'друзья', 'предавали', ',', 'друзья', 'предавали', ',', 'жена', 'уходила', '.']"
359,"И права, вероятно, Ирина — чьи-то книги читал, много пил и не видел неделями сына.Так какой же полоса даны мне неведомого великодушного рукой с облаками летящими сны, с детским хохотом, с опавшей листвой."
360,Да я не о том —спит штабной подполковник на нового шинели.
361,"['И', 'ответит', 'мне', 'Женя', ',', 'берёзы', 'росток', ',', 'на', 'ладошку', 'листок', 'оброня', ':', '—', 'Поменяйся', 'тогда', 'мы', 'местами', ',', 'браток', ',', 'ты', 'со', 'мною', 'бы', 'не', 'был', 'жесток', '.']"
362,"['Мы', 'с', 'Ирою', 'К.', 'танцевали', ',', 'целуясь', 'то', 'в', 'щеки', ',', 'то', 'в', 'губы', '.']"
363,В обновы пугавшего оденут.
364,"Ну, а как?"
365,облака синие.
366,"['А', 'на', 'балконе', 'комсомолочка', 'стоит', 'немножечко', 'помята', ',', 'она', 'летала', ',', 'как', 'Дюймовочка', ',', 'всю', 'ночь', 'в', 'объятьях', 'депутата', '.']"
